id,title,author,year,category,languaje,originCountry
1,To Kill a Mockingbird,Harper Lee,1960,Fiction,English,USA
2,One Hundred Years of Solitude,Gabriel Garcia Marquez,1967,Magical Realism,Spanish,Colombia
3,The Great Gatsby,F. Scott Fitzgerald,1925,Classic,English,USA
4,War and Peace,Leo Tolstoy,1869,Historical,Russian,Russia
5,Pride and Prejudice,Jane Austen,1813,Romance,English,UK
6,The Divine Comedy,Dante Alighieri,1320,Epic Poetry,Italian,Italy
7,Don Quixote,Miguel de Cervantes,1605,Adventure,Spanish,Spain
8,The Catcher in the Rye,J.D. Salinger,1951,Fiction,English,USA
9,Crime and Punishment,Fyodor Dostoevsky,1866,Psychological Fiction,Russian,Russia
10,The Hobbit,J.R.R. Tolkien,1937,Fantasy,English,UK
11,Moby Dick,Herman Melville,1851,Adventure,English,USA
12,The Odyssey,Homer,-800,Epic Poetry,Ancient Greek,Greece
13,The Brothers Karamazov,Fyodor Dostoevsky,1880,Philosophical Fiction,Russian,Russia
14,Les Misérables,Victor Hugo,1862,Historical Fiction,French,France
15,In Search of Lost Time,Marcel Proust,1913,Modernist,French,France
16,The Iliad,Homer,-750,Epic Poetry,Ancient Greek,Greece
17,Anna Karenina,Leo Tolstoy,1878,Romance,Russian,Russia
18,Madame Bovary,Gustave Flaubert,1857,Realism,French,France
19,The Stranger,Albert Camus,1942,Existential Fiction,French,France
20,Ulysses,James Joyce,1922,Modernist,English,Ireland
